0,1,2,3,4,5,6,7,8,9,10,11,12,13
7c286170-1e18-012f-0643-0030487f54d8,Tammany Hall,40.720739,-73.988616,3,1,1,0,0,1,0,1,0,1
029613fd-52f5-4e0b-8afe-f05df29e914a,The Magician,40.719817,-73.98728,3.5,1,0,1,1,1,0,1,0,0
7cb9dbf0-1e18-012f-0643-0030487f54d8,Chloe 81,40.717983,-73.989502,4,1,1,0,1,1,0,1,0,0
4c6f9572-3db3-4458-a0a5-1eeac976dfdf,Sweet & Vicious,40.721289,-73.994271,3.5,1,1,0,0,1,0,1,1,0
06bd19f0-cb28-4425-b10f-94c6217ec3bc,Loreley Restaurant,40.721248,-73.992896,4,1,1,0,1,1,0,1,0,1
1c6ba4f7-310d-4552-9a2e-a687144d0e7f,Epstein's Bar,40.721536,-73.988912,4,1,1,1,1,1,0,1,0,1
1106bd0b-4ede-487f-900e-1f52ad680c23,The Sixth Ward,40.722211,-73.988259,3.5,1,1,0,1,1,0,1,1,0
8c8459e0-b64e-4253-858e-8f20dcc5dade,Randolph Beer,40.71967,-73.994812,4.5,1,1,0,1,1,0,1,1,1
e98a0b7b-bcb6-472f-8838-18527ee92951,The Library,40.722504,-73.986248,4.5,1,0,0,1,1,0,1,0,0
0a1253fe-999e-44fe-b947-4227bf75a2d9,Rockwood Music Hall,40.722347,-73.988555,4.5,1,0,0,0,1,0,1,0,0
0a9d41cb-72d0-48c4-b89b-38346bfebaff,Mother's Ruin,40.721344,-73.995025,4.5,1,1,0,1,1,0,1,0,0
2811a1c6-7929-4320-928c-70880db06bcf,Cocoa Bar,40.720675,-73.984306,4.5,1,1,0,0,1,0,1,1,1
013985c1-f785-496e-b0e4-10d795567eee,Spring Lounge,40.721923,-73.996377,4,1,0,0,1,1,0,0,0,0
09c3ce73-c8e6-4544-9b0d-bcc2456f2205,Mulberry Project,40.719072,-73.997639,4.5,1,1,0,1,1,0,1,0,0
2d8d226e-a34a-40ba-9e4b-03e9b2198332,Experimental Cocktail Club,40.72194,-73.992131,4.5,1,0,0,0,1,0,1,0,0
ff1e8204-f4a6-4fd8-be65-1d1ed145f9b7,One Mile House,40.720382,-73.993277,4.5,1,1,0,0,1,0,1,1,0
